MMSI,Speed,COG,Destination,Ship_type,Gross_tonnage,Length,Breadth
212209000,10.1,64.3,Hamina,Cargo,3416,94.9,15.3
212436000,13.5256,77.0755,Hamina,Tanker,6280,116.9,18.0
219082000,9.9,74.7,Hamina,Tanker,9980,141.2,21.9
219083000,11.6038,74.8,Hamina,Tanker,9980,141.2,21.6
219426000,11.9203,56.3253,Hamina,Tanker,3219,99.9,15.0
229998000,11.7433,70.9708,Hamina,Tanker,4364,122.0,16.0
235009040,8.4,65.8,Hamina,Cargo,3978,100.0,16.5
236039000,10.1,74.9,Hamina,Cargo,2280,82.6,12.3
246591000,9.2,74.6,Hamina,Cargo,8620,137.1,19.1
247697000,10.5,75.2,Hamina,Tanker,4896,118.6,16.4
259319000,8.4,74.9,Hamina,Tanker,6045,123.6,19.5
259896000,10.3,76.9,Hamina,Tanker,9056,140.2,22.2
305929000,9.6,73.2,Hamina,Cargo,1905,87.9,11.4
440363000,9.9,74.6,Hamina,Cargo,8521,136.0,32.0
636017466,8.6,67.5,Hamina,Cargo,1985,82.5,12.5
245772000,12.8776,69.6004,Hamina,Cargo,4235,108.5,15.9
249128000,11.6121,65.6221,Hamina,Tanker,3300,99.9,15
259372000,12.7513,157.2673,Hamina,Tanker,6045,123.6,19.23
305677000,10.5595,63.7482,Hamina,Cargo,6668,106.97,18.42
230044260,8.7,85.4,Helsinki,Tug,100,15.0,5.0
210434000,7.9,66.8,Kotka,Cargo,1999,82.4,12.5
236029000,10.1,73.4,Kotka,Cargo,2301,82.5,12.4
244850900,10.8,73.5,Kotka,Cargo,6540,134.5,16.5
245241000,11.2,74.5,Kotka,Cargo,2862,94.7,13.4
245301000,11.5,65.2,Kotka,Cargo,2622,88.3,12.9
246169000,9.6,73.3,Kotka,Cargo,2548,89.0,12.5
246188000,10.8921,62.1849,Kotka,Cargo,4035,111.4,13.35
255801580,13.6877,57.4511,Kotka,Cargo,11596,125.5,18.8
210974000,10.3,74.5,Kronshtadt,Cargo,2984,90.0,15.4
259721000,12.3,69.7069,Kronshtadt,Tanker,8829,134.7,20.8
235010600,10.8,79.8,Kunda,Cargo,5257,117.0,16.9
244130641,7.5,77.4,Kunda,Cargo,2528,90.0,12.5
212464000,13.4702,84.6996,Muuga,Tanker,6556,116.9,18.0
240797000,8.9487,80.4384,Muuga,Tanker,81502,274,48.04
244790509,7.7,74.5,Muuga,Cargo,3603,101.2,14.4
249207000,11.0,74.4,Muuga,Tanker,11935,144.1,23.0
256827000,9.8,86.4867,Muuga,Tanker,7833,150.2,17.3
276832000,9.8,109.6,Muuga,Tug,286,33.3,9.2
305049000,10.1,82.2,Muuga,Cargo,12192,141.4,22.5
305198000,9.8,63.2,Muuga,Cargo,1987,81.2,12.4
309175000,7.8,74.0,Muuga,Cargo,1513,82.3,11.3
325974000,8.7,73.9,Muuga,Cargo,5796,122.0,18.7
477043500,11.9996,77.4823,Muuga,Tanker,61990,247.0,44.0
305293000,9.8454,77.8443,Muuga,Cargo,15633,161.09,25.43
218801000,7.6,83.2,Paldiski,Cargo,1587,82.2,11.3
230182000,9.9,130.6,Paldiski,Tug,298,31.0,10.5
230601000,12.3,130.5,Paldiski,Cargo,3259,101.8,18.8
230663000,7.4,89.3,Paldiski,Cargo,3405,103.0,13.6
230984090,8.2,129.4,Paldiski,Tug,107,23.8,7.0
231844000,10.3,115.2,Paldiski,Cargo,2876,88.9,13.2
247386800,8.5,79.8,Paldiski,Cargo,24133,191.4,26.2
257033170,5.5,98.8,Paldiski,Tanker,27427,182.5,32.2
376593000,9.6,82.4,Paldiski,Cargo,2516,113.9,13.2
212569000,9.2377,101.7532,Porvoo,Cargo,2979,89.95,15.25
219178000,11.7699,73.3348,Porvoo,Tanker,7636,129.8,19.9
230965000,10.7442,70.1734,Porvoo,Tanker,15980,169.5,23.8
230987660,8.6,65.1,Porvoo,Cargo,852,64.2,10.5
236500000,12.3,75.1,Porvoo,Tanker,11935,144.1,23.2
244092000,14.6805,79.2,Porvoo,Tanker,7833,117.8,18.6
245229000,12.3187,64.1119,Porvoo,Tanker,1825,79.4,13.8
247661000,11.6998,76.4,Porvoo,Tanker,7071,120.8,16.4
255714000,13.2697,60.3354,Porvoo,Tanker,3785,100.0,17.0
255735000,13.5657,72.2205,Porvoo,Tanker,3790,99.9,16.5
256656000,11.6,59.2594,Porvoo,Tanker,3235,94.9,14.5
259768000,11.8492,80.343,Porvoo,Tanker,11935,144.1,23.2
538002774,11.5935,67.3823,Porvoo,Tanker,30641,195.0,32.2
538002778,11.3631,74.6552,Porvoo,Tanker,30641,195,32.24
636016683,10.9,75.4,Porvoo,Tanker,5440,108.0,16.8
636016752,11.7,74.6,Porvoo,Tanker,3853,92.9,15.3
